NUMBER_OF_DRONES,SEED,PLANNING_EXPERIMENT,INPLACE,MOVING,ADVERSARIAL,OBSTACLES,Time,Distance
1,1,2,True,False,False,False,31.232000000000024,9.490334349407107
1,2,2,True,False,False,False,21.824000000000016,10.256149578426388
1,3,2,True,False,False,False,25.72800000000002,8.393502913866767
2,1,2,True,False,False,False,49.60000000000004,16.59740709349878
2,2,2,True,False,False,False,37.312000000000026,17.776809571999173
2,3,2,True,False,False,False,37.88800000000003,13.589375314159478
3,1,2,True,False,False,False,61.69600000000005,20.60356334224089
3,2,2,True,False,False,False,53.12000000000004,22.396718114193064
3,3,2,True,False,False,False,49.34400000000004,23.70913624482858
4,1,2,True,False,False,False,78.39999999999846,28.04994795365329
4,2,2,True,False,False,False,65.79199999999985,28.150746364051606
4,3,2,True,False,False,False,65.40799999999989,28.294440081152143
5,1,2,True,False,False,False,80.25599999999825,33.223881807904874
5,2,2,True,False,False,False,81.47199999999812,31.88198218476645
5,3,2,True,False,False,False,82.17599999999804,33.20955848774045
6,1,2,True,False,False,False,90.36799999999714,35.76070313229957
6,2,2,True,False,False,False,105.98399999999542,42.03746314857813
6,3,2,True,False,False,False,96.1279999999965,33.503092613509516
7,1,2,True,False,False,False,102.97599999999575,40.01550297555711
7,2,2,True,False,False,False,114.3679999999945,43.172231135479095
7,3,2,True,False,False,False,110.59199999999491,38.05968215814693
